HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($)
1.00,Costa Rica,CRI,2019CRI,1,5047.60,80.30,7.00,2.65,62.10,1.56,20297.00
2.00,Vanuatu,VUT,2019VUT,8,299.90,70.50,6.96,1.62,60.40,1.56,3153.00
3.00,Colombia,COL,2019COL,1,50339.40,77.30,6.35,1.90,60.20,1.56,14625.00
4.00,Switzerland,CHE,2019CHE,3,8591.40,83.80,7.69,4.14,60.10,1.56,68391.00
5.00,Ecuador,ECU,2019ECU,1,17373.70,77.00,5.81,1.51,58.80,1.56,11375.00
6.00,Panama,PAN,2019PAN,1,4246.40,78.50,6.09,2.10,57.90,1.56,31459.00
7.00,Jamaica,JAM,2019JAM,1,2948.30,74.50,6.31,1.84,57.90,1.56,9761.00
8.00,Guatemala,GTM,2019GTM,1,17581.50,74.30,6.26,1.77,57.90,1.56,8637.00
9.00,Honduras,HND,2019HND,1,9746.10,75.30,5.93,1.58,57.70,1.56,5728.00
10.00,Uruguay,URY,2019URY,1,3461.70,77.90,6.60,2.62,57.50,1.56,21561.00
11.00,New Zealand,NZL,2019NZL,2,4783.10,82.30,7.21,3.87,57.40,1.56,43148.00
12.00,Philippines,PHL,2019PHL,8,108116.60,71.20,6.27,1.50,57.10,1.56,8908.00
13.00,El Salvador,SLV,2019SLV,1,6453.60,73.30,6.45,2.06,56.30,1.56,8776.00
14.00,United Kingdom,GBR,2019GBR,3,67530.20,81.30,7.16,3.95,56.00,1.56,46703.00
15.00,Peru,PER,2019PER,1,32510.50,76.70,6.00,2.09,55.90,1.56,12848.00
16.00,Nicaragua,NIC,2019NIC,1,6545.50,74.50,6.11,2.04,55.20,1.56,5407.00
17.00,Tajikistan,TJK,2019TJK,7,9321.00,71.10,5.46,0.96,55.20,1.56,3380.00
18.00,Netherlands,NLD,2019NLD,3,17097.10,82.30,7.43,4.59,54.90,1.56,56810.00
19.00,Dominican Republic,DOM,2019DOM,1,10739.00,74.10,6.00,1.93,54.80,1.56,18413.00
20.00,Armenia,ARM,2019ARM,7,2957.70,75.10,5.49,1.52,54.70,1.56,13654.00
