,Date,Section,Metric,Value
0,1975-03-23,,85,79.8
1,1975-03-23,,60,56.6
2,1975-03-23,,73.38,68.2
3,1975-03-23,,0.00,4.90
4,1975-03-23,,61.42,-
5,1975-03-23,,66,-
6,1975-03-23,,56,-
7,1975-03-23,,61.42,-
8,1975-03-23,,13,-
9,1975-03-23,,7,-
10,1975-03-23,,29.88,-
11,1975-03-23,,12h 12m,7:26 AM
12,1975-03-23,,,7:03 AM
13,1975-03-23,,,6:35 AM
14,1975-03-23,,,6:08 AM
15,1975-03-23,,,3:47 PM
16,1975-06-22,,84,91.1
17,1975-06-22,,71,72.4
18,1975-06-22,,75.46,81.8
19,1975-06-22,,0.00,5.10
20,1975-06-22,,70.71,-
21,1975-06-22,,73,-
22,1975-06-22,,69,-
23,1975-06-22,,70.71,-
24,1975-06-22,,16,-
25,1975-06-22,,7,-
26,1975-06-22,,30.02,-
27,1975-06-22,,13h 57m,6:29 AM
28,1975-06-22,,,6:03 AM
29,1975-06-22,,,5:30 AM
30,1975-06-22,,,4:55 AM
31,1975-06-22,,,7:39 PM
32,1975-09-21,,88,89.2
33,1975-09-21,,75,72
34,1975-09-21,,80.46,80.6
35,1975-09-21,,0.00,3.10
36,1975-09-21,,73.79,-
37,1975-09-21,,77,-
38,1975-09-21,,71,-
39,1975-09-21,,73.79,-
40,1975-09-21,,15,-
41,1975-09-21,,15,-
42,1975-09-21,,29.91,-
43,1975-09-21,,12h 10m,7:14 AM
44,1975-09-21,,,6:51 AM
45,1975-09-21,,,6:23 AM
46,1975-09-21,,,5:55 AM
47,1975-09-21,,,7:55 PM
48,1975-12-21,,58,73.1
49,1975-12-21,,44,52
50,1975-12-21,,49.42,62.5
51,1975-12-21,,0.00,5.60
52,1975-12-21,,33.13,-
53,1975-12-21,,47,-
54,1975-12-21,,0,-
55,1975-12-21,,33.13,-
56,1975-12-21,,21,-
57,1975-12-21,,15,-
58,1975-12-21,,30.09,-
59,1975-12-21,,10h 19m,7:14 AM
60,1975-12-21,,,6:48 AM
61,1975-12-21,,,6:19 AM
62,1975-12-21,,,5:50 AM
63,1975-12-21,,,8:57 PM
64,1976-03-22,,85,79.6
65,1976-03-22,,61,56.5
66,1976-03-22,,69.58,68.1
67,1976-03-22,,0.00,4.90
68,1976-03-22,,57.75,-
69,1976-03-22,,65,-
70,1976-03-22,,47,-
71,1976-03-22,,57.75,-
72,1976-03-22,,23,-
73,1976-03-22,,15,-
74,1976-03-22,,30.12,-
75,1976-03-22,,12h 12m,6:27 AM
76,1976-03-22,,,6:03 AM
77,1976-03-22,,,5:36 AM
78,1976-03-22,,,5:08 AM
79,1976-03-22,,,12:50 AM
