OBJECTID,State Abbreviation,State FIPS,State Name,2020 Total Population,Population Density,Area in square miles,Shape__Area,Shape__Length,State Name,Total Number of Enrollees in Part D and B Who Would Experience S,Projected IRA Savings ($),Average Annual Out-of-Pocket Savings Per Enrollee ($),ObjectID
1,AL,1,Alabama,5024279,97.3,51632.79,12.89716855,17.23765793,Alabama,29127,12800687,439,1
2,AK,2,Alaska,733391,1.2,587044.59,277.7029905,402.4488122,Alaska,1026,613867,598,2
3,AZ,4,Arizona,7151502,62.7,113984.7,28.85908969,23.25726973,Arizona,28124,14545058,517,3
4,AR,5,Arkansas,3011524,56.6,53198.23,13.51746474,20.87717934,Arkansas,15559,8395598,540,4
5,CA,6,California,39538223,250.2,158036.99,41.53361808,42.2601575,California,108164,36622758,339,5
6,CO,8,Colorado,5773714,55.5,104094.52,28.0415972,22.02562627,Colorado,16085,8288613,515,6
7,CT,9,Connecticut,3605944,727.8,4954.46,1.392524659,5.722459219,Connecticut,11444,6749195,590,7
8,DE,10,Delaware,989948,503,1968.02,0.553340465,4.075365055,Delaware,6066,2707378,446,8
10,FL,12,Florida,21538187,381.4,56473.43,13.34767238,41.08501016,Florida,90181,42920606,476,9
11,GA,13,Georgia,10711908,182.5,58701.18,14.59882742,20.10346749,Georgia,45625,21764218,477,10
12,HI,15,Hawaii,1455271,226.3,6431.13,1.431986811,11.97467031,Hawaii,3703,1440292,389,11
13,ID,16,Idaho,1839106,22,83568.55,24.39159532,28.52967285,Idaho,7927,4801119,606,12
14,IL,17,Illinois,12812508,227.4,56337.93,15.39686553,19.99922457,Illinois,59718,30975919,519,13
15,IN,18,Indiana,6785528,187.5,36187.42,9.932129724,16.11030695,Indiana,42310,22876374,541,14
16,IA,19,Iowa,3190369,56.7,56272.77,15.8533793,18.79032064,Iowa,18834,13648044,725,15
17,KS,20,Kansas,2937880,35.7,82278.21,21.98230535,21.10487055,Kansas,15657,10170650,650,16
